1999 - https://www.youtube.com/watch?v=cLbNLjN6e08  43:58.9 - 44:04.1
2000 - https://www.youtube.com/watch?v=YTXTYQu20UE 2:22.7-2:26.7
2001 - https://www.youtube.com/watch?v=pEPdLJhq6-k 16:04 - 16:09
2002 - https://www.youtube.com/watch?v=NGV-vvW5B-c 2:10 - 2:15
2003 - https://www.youtube.com/watch?v=-rD17DukZ90 0:07 - 0:12
2004 - https://www.youtube.com/watch?v=yVV_yMHZqhE 3:26 - 3:30 
2005 - https://www.youtube.com/watch?v=4uF7TSeiLZQ 2:44 - 2:51
2006 - https://www.youtube.com/watch?v=-5FAnNYPD9o 3:16 - 3:21
2007 - https://www.youtube.com/watch?v=WgXpDLj4lnw 0:38 - 0:44
2008 - https://www.youtube.com/watch?v=U5Af1jGgYqA 0:50 - 0:56
2009 - https://www.youtube.com/watch?v=rctOtFOXco8 6:15 - 6:20
2010 - https://www.youtube.com/watch?v=_d4j1lunAIo 7:09 - 7:15
2011 - https://www.youtube.com/watch?v=Yil9PpIr1DA 2:02 - 2:07 
2012 - https://www.youtube.com/watch?v=fnD6D2H8OmE 0:28 - 0:33
2013 - https://www.youtube.com/watch?v=HMgXktpnRvY 0:51 - 0:57
2014 - https://www.youtube.com/watch?v=bP-05OKhVlU 0:51 - 0:56
2015 - https://www.youtube.com/watch?v=mSywWtS9YfQ 1:10 - 1:15
2016 - https://www.youtube.com/watch?v=aUj0aCkMipU 0:25 - 0:29
2017 - https://www.youtube.com/watch?v=1BKicTE-gvQ 1:38 - 1:43
2018 - https://www.youtube.com/watch?v=-fcQWtfFdTY 0:49 - 0:55
2019 - https://www.youtube.com/watch?v=mnLdAeSXZv0 0:55 - 1:00

 

